index,candidate_id,backend,image_path,src_image,seed_effective,steps,guidance_scale,augmented
501,0,flux_edit,,,3,28,3.2,1
501,1,flux_edit,,,824,28,3.2,1
502,0,flux_edit,,,3,28,3.2,1
502,1,flux_edit,,,824,28,3.2,1
503,0,flux_edit,,,3,28,3.2,1
503,1,flux_edit,,,824,28,3.2,1
504,0,flux_edit,,,3,28,3.2,1
504,1,flux_edit,,,824,28,3.2,1
505,0,flux_edit,,,3,28,3.2,1
505,1,flux_edit,,,824,28,3.2,1
506,0,flux_edit,,,3,28,3.2,1
506,1,flux_edit,,,824,28,3.2,1
507,0,flux_edit,,,3,28,3.2,1
507,1,flux_edit,,,824,28,3.2,1
508,0,flux_edit,,,3,28,3.2,1
508,1,flux_edit,,,824,28,3.2,1
509,0,flux_edit,,,3,28,3.2,1
509,1,flux_edit,,,824,28,3.2,1
510,0,flux_edit,,,3,28,3.2,1
510,1,flux_edit,,,824,28,3.2,1
