index,task_type,prompt,ori_image,target_image
1,t2i,A stunning tree grows from an asteroid in space with intricate details and natural lighting for a surreal 3D rendering.,,
2,t2i,Calm and fluffy clouds in a serene sky painted in conceptual art style in 4K resolution.,,
3,t2i,A realistic photo shows a smooth-skinned male robot that poses like a statue in a factory.,,
4,t2i,This is a young astronaut in a spacesuit depicted in a smooth digital portrait illustration concept art style.,,
5,t2i,A vibrant cityscape at dawn with sharp focus and bright colors in a matte finish,,
6,t2i,A man enjoys a drink while reading a book in a cozy living room.,,
7,t2i,The sunglasses reflect a stunning view of the universe in a realistic virtual environment.,,
8,t2i,A man riding a small bicycle with a basket along a steep road in the forest.,,
9,t2i,Award-winning beach scene with colorful lights and lanterns illuminating makeshift huts under the night sky.,,
10,t2i,a woman in a white shawl stands in a garden with red flowers blooming around her,,
11,t2i,A toy set inspired by mythical creatures in a fantasy world,,
12,t2i,Spiderweb-covered piano in vast silent hall with soft light creating a somber mood,,
13,t2i,A teenager with glowing freckles and messy hair stands against the light in a whimsical indie studio scene.,,
14,t2i,This painting depicts a serene landscape with vibrant colors and delicate brushwork.,,
15,t2i,African American woman wears turquoise helmet mask and pink cloak in a gold canopy,,
16,t2i,A fall morning was ushered in on a mist-shrouded boulevard under a clear blue sky.,,
17,t2i,"In a serene setting, renowned artists depict a calm ocean under a clear sky.",,
18,t2i,Two mystics gather by a fire as a mythical bird ascends from a distant volcano in a serene landscape,,
19,t2i,A high detail 4k professional photograph of a cowboy in a wild west town scene,,
20,t2i,This is a 1950s game show hyper-realist painting of a woman playing golf in a reflective setting.,,
21,t2i,"A man explores a steampunk-inspired portal in a vibrant, light-colored world rendered in clean vector art.",,
22,t2i,Samurai skeleton with blue eyes in a dark fantasy scene intricately detailed digital painting art concept illustration,,
23,t2i,A serene park scene with brightly colored flowers and people having a good time in harmony in the sun.,,
24,t2i,A serene beach scene with a woman in a blue robe holding a birthday cake at a golden hour.,,
25,t2i,Exoskeletal device malfunctioned at railroad station causing delay,,
26,t2i,Creative anime style illustration of a dog girl with fairy wings and heart effects on a simple background,,
27,t2i,A soccer player kicks a ball in a sunny park scene,,
28,t2i,A classic black and white illustration of a woman in vintage attire,,
29,t2i,A detailed eerie and grim creature in a dark forest at night,,
30,t2i,This is a magical garden presented in a photo-realistic digital painting style with a rainbow of sparkling flowers and soft lighting.,,
31,t2i,"In a futuristic cityscape, there's a vibrant techno-punk alleyway with flashing neon lights and bustling robots.",,
32,t2i,A detailed 8K resolution photo of a well-designed garden in a sunny park,,
33,t2i,A skilled warrior stands in heroic stance wielding a spear in a vivid digital artwork,,
34,t2i,A detailed realistic painting of a musician in an art nouveau style,,
35,t2i,Create a detailed nature-inspired game asset for a fantasy world in a blue and pink toned gouache style.,,
36,t2i,Corn sprouted legs and fled captured in a vintage Polaroid photo,,
37,t2i,"This is a stormy, detailed digital painting with a stormy background by Anton Peek, depicting a Frostbite pirate.",,
38,t2i,A dramatic painting of a woman in Caravaggio style with vivid colors,,
39,t2i,A spaceship launches from a city in a digital art style inspired by Van Gogh's Starry Night,,
40,t2i,girl with flowing hair in ocean breeze scene,,
41,t2i,A vibrant outdoor scene of modern art objects in bold colors and memphis design style in 1920,,
42,t2i,"Detailed photo print of Porsche 911 Carrera 3.2 driving on the highway with forest in the background, golden moment of light and mist scene.",,
43,t2i,A young girl in an eva suit stands on Titan with Saturn's rings in cinematic lighting sharp focus,,
44,t2i,A serene beach scene with soft sand gentle waves and clear blue skies,,
45,t2i,A man dances elegantly in a 1970s Soviet-style ballroom filled with vintage glamor and warm lighting.,,
46,t2i,"Under soft, mysterious lighting, the museum displays a moving sculpture made of clay and marble.",,
47,t2i,Crystal skull in 8k cinematic detailed intricate scene,,
48,t2i,A beautiful street at dusk with wisteria-like purple lights illuminating old houses and super detailed 8K artwork.,,
49,t2i,A detailed 8k sci-fi fantasy film still photo featuring a basketball player in a floral ornate setting,,
50,t2i,Epic patriotic mech in a vast battlefield scene with cinematic lighting and ultra realistic details,,
51,t2i,"This is a close-up photo of a tiger's face taken with a camera, which shows the tiger's face in great detail and high contrast, making it look very majestic.",,
52,t2i,A friendly cartoon dog is featured in Pixar's cozy family scenes.,,
53,t2i,A magnificent estate in a mysterious forest with a lovely garden full of mushrooms and people discussing them under the dynamic art of moonlight.,,
54,t2i,"In one black-and-white photo, an old man collects truffles from the leaf-covered ground next to a pig.",,
55,t2i,A superhero in a city at night with bright lights and shadows captured in a stunning 8k photo,,
56,t2i,"This is a detailed portrait of a beautiful princess by several artists, with a cinematic and dramatic atmosphere.",,
57,t2i,"Kodak Portra 400 film captures a serene fall picnic scene with a sunny Tuscan countryside in the background, with soft tones and vintage charm.",,
58,t2i,Otto worked tirelessly at his computer from dawn to dusk every day without a break.,,
59,t2i,A man and a cat play together in a brightly lit room with soft shadows.,,
60,t2i,Super Mario in Superman costume flying in movie lights with bokeh and lens halo effects.,,
61,t2i,"Awe-inspiring ancient holograms with muted colors, intricate geometric patterns, and gold shards dotted throughout the studio environment.",,
62,t2i,"A small, fluffy sparrow perches in a flower-shaped cup under a warm nightlight, creating a cozy scene.",,
63,t2i,Mandelbrot crystal fluid thin gold wire tendrils ultra detailed photographic octane HD 16k hyperrealistic digital art masterpiece,,
64,t2i,"River bridge in Wuhan at sunset, purple sky in cinematic 8K detail.",,
65,t2i,A serene rural Spanish village scene painted in soft matte tones,,
66,t2i,Evening TV show studio with sofa and women in blue style art by an artist,,
67,t2i,A fit model in futuristic material poses for a simple background photo shoot with lush curls and petite body,,
68,t2i,"Featuring a stylish fox character in a bustling city scene, this is a vibrant and detailed piece of art created just for fans.",,
69,t2i,A shiny apple with a stylish logo sticker is captured in high quality 4K photography.,,
