index,task_type,prompt,prompt_en
1,t2i,一棵令人惊叹的树从太空中的一颗小行星上生长出来，细节复杂，自然光线照射，呈现出超现实的3D渲染效果。,A stunning tree grows from an asteroid in space with intricate details and natural lighting for a surreal 3D rendering.
2,t2i,宁静的天空中，以概念艺术风格绘制的平和蓬松的云朵，分辨率为4K。,Calm and fluffy clouds in a serene sky painted in conceptual art style in 4K resolution.
3,t2i,一张逼真的照片，展示了一位皮肤光滑的男性机器人，它像雕像一样在工厂中摆出姿势。,A realistic photo shows a smooth-skinned male robot that poses like a statue in a factory.
4,t2i,这是一幅以平滑的数字肖像插画概念艺术风格描绘的身穿宇航服的年轻宇航员。,This is a young astronaut in a spacesuit depicted in a smooth digital portrait illustration concept art style.
6,t2i,一个男人在舒适的客厅里一边看书一边享受着饮料。,A man enjoys a drink while reading a book in a cozy living room.
7,t2i,太阳镜在逼真的虚拟环境中反射出一幅令人惊叹的宇宙景象。,The sunglasses reflect a stunning view of the universe in a realistic virtual environment.
8,t2i,一个男人骑着一辆带篮子的小自行车，沿着森林中陡峭的道路骑行。,A man riding a small bicycle with a basket along a steep road in the forest.
9,t2i,获奖的海滩场景，五彩斑斓的灯光和灯笼照亮的夜空下的临时小屋。,Award-winning beach scene with colorful lights and lanterns illuminating makeshift huts under the night sky.
13,t2i,一个脸上有发光雀斑、头发凌乱的青少年站在一个充满奇思妙想的独立工作室场景中，逆光而立。,A teenager with glowing freckles and messy hair stands against the light in a whimsical indie studio scene.
14,t2i,这幅画描绘了一幅宁静的风景，色彩鲜艳，笔触细腻。,This painting depicts a serene landscape with vibrant colors and delicate brushwork.
16,t2i,在晴朗的蓝天之下，一条被薄雾笼罩的林荫大道上，迎来了一个秋天的早晨。,A fall morning was ushered in on a mist-shrouded boulevard under a clear blue sky.
17,t2i,在宁静的环境中，著名艺术家们描绘了一片在晴朗天空下的平静海洋。,"In a serene setting, renowned artists depict a calm ocean under a clear sky."
20,t2i,这是一幅1950年代游戏节目的超写实主义画作，画面中一位女性在一个反光的环境中打高尔夫球。,This is a 1950s game show hyper-realist painting of a woman playing golf in a reflective setting.
21,t2i,一个男人在一个充满活力的淡彩世界中探索蒸汽朋克风格的门户，这个世界以干净的矢量艺术呈现。,"A man explores a steampunk-inspired portal in a vibrant, light-colored world rendered in clean vector art."
23,t2i,一个宁静的公园场景，有鲜艳的花朵和人们在阳光下和谐地享受美好时光。,A serene park scene with brightly colored flowers and people having a good time in harmony in the sun.
24,t2i,一个宁静的海滩场景，一位穿着蓝色长袍的女子在黄金时刻手持生日蛋糕。,A serene beach scene with a woman in a blue robe holding a birthday cake at a golden hour.
30,t2i,这是一幅以照片般逼真的数字绘画风格呈现的神奇花园，花园里有彩虹般闪耀的花朵和柔和的灯光。,This is a magical garden presented in a photo-realistic digital painting style with a rainbow of sparkling flowers and soft lighting.
31,t2i,在一个未来城市景观中，有一条充满活力的科技朋克小巷，霓虹灯闪烁，机器人熙熙攘攘。,"In a futuristic cityscape, there's a vibrant techno-punk alleyway with flashing neon lights and bustling robots."
35,t2i,为一个幻想世界创作一个以自然为灵感的详细游戏资产，采用蓝粉色调的水粉画风格。,Create a detailed nature-inspired game asset for a fantasy world in a blue and pink toned gouache style.
37,t2i,这是一幅由安东·皮克创作的、背景充满风暴的、细节丰富的数字绘画，描绘了一位霜冻海盗。,"This is a stormy, detailed digital painting with a stormy background by Anton Pieck, depicting a Frostbite pirate."
42,t2i,保时捷911 Carrera 3.2在公路上行驶，背景是森林，金色时刻的光线和薄雾场景的详细照片打印。,"Detailed photo print of Porsche 911 Carrera 3.2 driving on the highway with forest in the background, golden moment of light and mist scene."
45,t2i,一位男士在70年代苏联风格的舞厅中优雅地跳舞，那里充满了复古的魅力和温暖的灯光。,A man dances elegantly in a 1970s Soviet-style ballroom filled with vintage glamor and warm lighting.
46,t2i,在柔和而神秘的灯光下，博物馆里展示着一件由黏土和大理石制成的活动雕塑。,"Under soft, mysterious lighting, the museum displays a moving sculpture made of clay and marble."
48,t2i,黄昏时分，一条美丽的街道，紫藤花般的紫色灯光照亮了古老的房屋，超精细的8K艺术作品。,A beautiful street at dusk with wisteria-like purple lights illuminating old houses and super detailed 8K artwork.
51,t2i,这是一张用相机拍摄的老虎脸部特写照片，照片中老虎的面部细节丰富，对比度高，显得非常威严。,"This is a close-up photo of a tiger's face taken with a camera, which shows the tiger's face in great detail and high contrast, making it look very majestic."
52,t2i,在皮克斯温馨的家庭场景中，有一只友好的卡通狗。,A friendly cartoon dog is featured in Pixar's cozy family scenes.
53,t2i,在神秘森林中的一座宏伟庄园，有一个可爱的花园，里面长满了蘑菇，人们在动态的月光艺术下讨论着。,A magnificent estate in a mysterious forest with a lovely garden full of mushrooms and people discussing them under the dynamic art of moonlight.
54,t2i,在一张黑白照片中，一位老人在一头猪的旁边，从满是落叶的地面上采集松露。,"In one black-and-white photo, an old man collects truffles from the leaf-covered ground next to a pig."
56,t2i,这是一幅由多位艺术家创作的美丽公主的详细肖像，画面充满了电影般的戏剧氛围。,"This is a detailed portrait of a beautiful princess by several artists, with a cinematic and dramatic atmosphere."
57,t2i,柯达Portra 400胶卷捕捉到了一个宁静的秋季野餐场景，背景是阳光明媚的托斯卡纳乡村，色调柔和，充满复古魅力。,"Kodak Portra 400 film captures a serene fall picnic scene with a sunny Tuscan countryside in the background, with soft tones and vintage charm."
58,t2i,奥托每天从黎明到黄昏都在电脑前不知疲倦地工作，没有休息。,Otto worked tirelessly at his computer from dawn to dusk every day without a break.
59,t2i,一个男人和一只猫在一个光线明亮、有柔和阴影的房间里一起玩耍。,A man and a cat play together in a brightly lit room with soft shadows.
60,t2i,穿着超人服装的超级马里奥在电影灯光下飞行，带有散景和镜头光晕效果。,Super Mario in Superman costume flying in movie lights with bokeh and lens halo effects.
61,t2i,令人敬畏的古代全息图，色彩柔和，几何图案复杂，并在工作室环境中点缀着金色碎片。,"Awe-inspiring ancient holograms with muted colors, intricate geometric patterns, and gold shards dotted throughout the studio environment."
62,t2i,一只毛茸茸的小麻雀在温暖的夜灯下，栖息在一个花形杯中，营造出一幅温馨的场景。,"A small, fluffy sparrow perches in a flower-shaped cup under a warm nightlight, creating a cozy scene."
64,t2i,武汉的河桥在夕阳下，紫色的天空在电影般的8K细节中。,"River bridge in Wuhan at sunset, purple sky in cinematic 8K detail."
