index,task_type,prompt,ori_image,result_dir,result_image,sc,pq,VIEScore,notes
501,vttie,"Add the letter ""B"" to the baseball.",,,,9.0,9.0,9.0,字母B添加正确，位置和样式符合要求（-1，-1）
501,vttie,"Add the letter ""B"" to the baseball.",,,,8.0,9.0,8.4853,字母B添加正确，但颜色略显突兀（sc-2）
502,vttie,Add the word 'room' to the white wall to the right of the lamp.,,,,9.0,9.0,9.0,文字添加正确且清晰（无扣分）
502,vttie,Add the word 'room' to the white wall to the right of the lamp.,,,,9.0,9.0,9.0,文字添加正确且清晰（无扣分）
503,vttie,Add the word 'bench' to the ground in front of the bench.,,,,8.0,9.0,8.4853,文字添加正确，但字体大小略显突兀（sc-1）
503,vttie,Add the word 'bench' to the ground in front of the bench.,,,,4.0,9.0,6.0,文字内容错误（sc-5）
504,vttie,Add the letter A in pink frosting to the top of the cupcakes.,,,,2.0,8.0,4.0,未添加字母A，与指令冲突（sc-7）
504,vttie,Add the letter A in pink frosting to the top of the cupcakes.,,,,8.0,9.0,8.4853,编辑实现了添加粉色字母A的要求，但其中一个杯子蛋糕没有字母A（sc-2）。
505,vttie,Remove the word 'park' from the image.,,,,8.0,9.0,8.4853,成功移除了'park'字样，但背景有轻微残留痕迹（sc-2）
505,vttie,Remove the word 'park' from the image.,,,,8.0,9.0,8.4853,成功移除了'park'字样，但背景有轻微残留痕迹（sc-2）
506,vttie,"Add a sign that says ""Free Rides"" where the man in blue shirt in the front is holding. ",,,,8.0,9.0,8.4853,文字添加正确，但位置略显突兀（sc-1）
506,vttie,"Add a sign that says ""Free Rides"" where the man in blue shirt in the front is holding. ",,,,8.0,9.0,8.4853,文字添加正确，但位置略显突兀（sc-1）
507,vttie,Add the word 'grass' to the grass.,,,,4.0,9.0,6.0,文字内容未添加（sc-4）
507,vttie,Add the word 'grass' to the grass.,,,,4.0,9.0,6.0,文字内容未添加（sc-4）
508,vttie,Add the word 'cat' in white above the cat.,,,,4.0,9.0,6.0,文字内容与提示词不符（sc-5）
508,vttie,Add the word 'cat' in white above the cat.,,,,9.0,9.0,9.0,文字添加正确，位置和样式符合要求（-1，sc和pq各扣1分）
509,vttie,将文本 'CLASSIC MOJITO' 替换为 'BABY MILKSHAKE',,,,4.0,9.0,6.0,文本替换不完全，部分单词被截断（sc-5）
509,vttie,将文本 'CLASSIC MOJITO' 替换为 'BABY MILKSHAKE',,,,4.0,10.0,6.3246,文本替换错误，'Frozen Drinks' 被误替换成 'Baby Milkshake'（sc-4）
510,vttie,Replace the text 'duolingo' with 'greenowl',,,,8.0,9.0,8.4853,文字替换准确，但字体风格略有不同（sc-2）
510,vttie,Replace the text 'duolingo' with 'greenowl',,,,8.0,9.0,8.4853,文字替换准确，但字体风格略有不同（sc-2）
